Model,Best Parameters,Best CV Score (ROC AUC)
RandomForest,"{'n_estimators': np.float64(79.60013159014042), 'max_features': np.float64(0.1)}",0.8354545454545453
CatBoost,"{'iterations': np.float64(77.51067647801507), 'learning_rate': np.float64(0.06780602616231217), 'depth': np.float64(5.099025726528952)}",0.8343636363636364
LGBM,"{'n_estimators': np.float64(95.45533559567605), 'learning_rate': np.float64(0.1940533359391764)}",0.8107272727272727
XGB,"{'n_estimators': np.float64(127.09185933492752), 'learning_rate': np.float64(0.2), 'max_depth': np.float64(3.1693441062012795)}",0.8160000000000001
